Gene stable ID	Karyotype band	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC symbol
ENSG00000049246	p36.23	1	7784320	7845177	PER3
ENSG00000049247	p36.23	1	7843083	7853512	UTS2
ENSG00000219073	p36.12	1	21977022	21998642	CELA3B
ENSG00000070831	p36.12	1	22025511	22101360	CDC42
ENSG00000142789	p36.12	1	22001657	22012542	CELA3A
ENSG00000075151	p36.12	1	20806292	21176888	EIF4G3
ENSG00000142621	p36.21	1	15247272	15400283	FHAD1
ENSG00000049249	p36.23	1	7915894	7943165	TNFRSF9
ENSG00000251503	p36.22	1	10430102	10452153	CENPS-CORT
ENSG00000175279	p36.22	1	10430433	10442808	CENPS
ENSG00000241563	p36.22	1	10449719	10451902	CORT
ENSG00000142634	p36.21	1	15409888	15430339	EFHD2
ENSG00000160049	p36.22	1	10456522	10472529	DFFA
ENSG00000142655	p36.22	1	10472288	10630758	PEX14
ENSG00000157933	p36.33	1	2228319	2310213	SKI
ENSG00000116151	p36.32	1	2321253	2391707	MORN1
ENSG00000162438	p36.21	1	15438442	15449242	CTRC
ENSG00000142615	p36.21	1	15456728	15472091	CELA2A
ENSG00000215704	p36.21	1	15465909	15491395	CELA2B
ENSG00000162552	p36.12	1	22117313	22143969	WNT4
ENSG00000132906	p36.21	1	15490832	15526534	CASP9
ENSG00000116288	p36.23	1	7954291	7985505	PARK7
ENSG00000117602	p36.11	1	24502351	24541040	RCAN3
ENSG00000120937	p36.22	1	11857464	11858945	NPPB
ENSG00000116285	p36.23	1	8004404	8026309	ERRFI1
ENSG00000184677	p36.12	1	22428838	22531157	ZBTB40
ENSG00000116685	p36.22	1	11919591	11926428	KIAA2013
ENSG00000070886	p36.12	1	22563489	22603595	EPHA8
ENSG00000173372	p36.12	1	22636628	22639678	C1QA
ENSG00000184454	p36.11	1	24556087	24609328	NCMAP
ENSG00000159189	p36.12	1	22643633	22648110	C1QC
ENSG00000173369	p36.12	1	22652762	22661637	C1QB
ENSG00000133216	p36.12	1	22710839	22921500	EPHB2
ENSG00000130940	p36.22	1	10636604	10796650	CASZ1
ENSG00000157916	p36.32	1	2391775	2405442	RER1
ENSG00000162426	p36.23	1	8317826	8344167	SLC45A1
ENSG00000157911	p36.32	1	2403964	2413797	PEX10
ENSG00000215906	p36.12	1	22953043	22965338	LACTBL1
ENSG00000227868	p36.12	1	23010834	23015852	TEX46
ENSG00000004487	p36.12	1	23019443	23083689	KDM1A
ENSG00000175262	p36.22	1	10946471	10982037	C1orf127
ENSG00000149527	p36.32	1	2425980	2505532	PLCH2
ENSG00000169641	p36.12	1	23084023	23177808	LUZP1
ENSG00000253304	p35.3	1	29119429	29123903	TMEM200B
ENSG00000159023	p35.3	1	28887091	29120046	EPB41
ENSG00000127463	p36.13	1	19215660	19251527	EMC1
ENSG00000083444	p36.22	1	11934205	11975538	PLOD1
ENSG00000142599	p36.23	1	8352397	8848921	RERE
ENSG00000179546	p36.12	1	23191895	23194729	HTR1D
ENSG00000157881	p36.32	1	2508537	2526611	PANK4
ENSG00000125944	p36.12	1	23303771	23344336	HNRNPR
ENSG00000116138	p36.21	1	15526813	15592379	DNAJC16
ENSG00000053372	p36.13	1	19251805	19260128	MRTO4
ENSG00000116771	p36.21	1	15571699	15585051	AGMAT
ENSG00000117298	p36.12	1	21217247	21345572	ECE1
ENSG00000197921	p36.32	1	2528745	2530263	HES5
ENSG00000157873	p36.32	1	2555639	2565382	TNFRSF14
ENSG00000125945	p36.12	1	23359448	23369836	ZNF436
ENSG00000133226	p36.11	1	24631716	24673281	SRRM1
ENSG00000197312	p36.21	1	15617458	15669044	DDI2
ENSG00000215695	p36.21	1	15659869	15661722	RSC1A1
ENSG00000204219	p36.12	1	23380909	23424748	TCEA3
ENSG00000116688	p36.22	1	11980181	12013514	MFN2
ENSG00000116350	p35.3	1	29147743	29181900	SRSF4
ENSG00000074800	p36.23	1	8861000	8879190	ENO1
ENSG00000162461	p36.21	1	15736258	15741392	SLC25A34
ENSG00000162460	p36.21	1	15742499	15747982	TMEM82
ENSG00000116786	p36.21	1	15684320	15734769	PLEKHM2
ENSG00000169504	p36.11	1	24745382	24844321	CLIC4
ENSG00000211454	p36.13	1	19265982	19274194	AKR7L
ENSG00000162482	p36.13	1	19282573	19288770	AKR7A3
ENSG00000116691	p36.22	1	12019466	12032045	MIIP
ENSG00000120949	p36.22	1	12063303	12144207	TNFRSF8
ENSG00000009724	p36.22	1	11026523	11047239	MASP2
ENSG00000020633	p36.11	1	24899511	24965121	RUNX3
ENSG00000277726	p36.22	1	11012662	11030528	
ENSG00000053371	p36.13	1	19303965	19312146	AKR7A2
ENSG00000120948	p36.22	1	11012344	11026420	TARDBP
ENSG00000117614	p36.11	1	25222276	25232502	SYF2
ENSG00000224051	p36.33	1	1324756	1328896	CPTP
ENSG00000107404	p36.33	1	1335276	1349418	DVL1
ENSG00000116353	p35.3	1	29192657	29230942	MECR
ENSG00000131686	p36.23	1	8945867	8975092	CA6
ENSG00000169962	p36.33	1	1331280	1335314	TAS1R3
ENSG00000197241	p36.23	1	9003300	9026345	SLC2A7
ENSG00000040487	p36.13	1	19312326	19329300	SLC66A1
ENSG00000187010	p36.11	1	25272393	25330445	RHD
ENSG00000142794	p36.12	1	21440128	21485005	NBPF3
ENSG00000088280	p36.12	1	23428563	23484568	ASAP3
ENSG00000162576	p36.33	1	1352689	1361777	MXRA8
ENSG00000175756	p36.33	1	1373730	1375495	AURKAIP1
ENSG00000028137	p36.22	1	12166991	12209228	TNFRSF1B
ENSG00000162458	p36.21	1	15756607	15786594	FBLIM1
ENSG00000233954	p36.21	1	15807169	15809348	UQCRHL
ENSG00000065526	p36.21	1	15847707	15940456	SPEN
ENSG00000215912	p36.32	1	2635976	2801717	TTC34
ENSG00000142606	p36.32	1	2590639	2633016	MMEL1
ENSG00000157870	p36.32	1	2586491	2591469	PRXL2B
ENSG00000173436	p36.13	1	19484403	19629821	MICOS10
ENSG00000158747	p36.13	1	19596979	19658456	NBL1
ENSG00000077549	p36.13	1	19338775	19485539	CAPZB
ENSG00000116649	p36.22	1	11054584	11060020	SRM
ENSG00000007968	p36.12	1	23506438	23531233	E2F2
ENSG00000117318	p36.12	1	23557926	23559501	ID3
ENSG00000270136	p36.13	1	19597067	19656927	MICOS10-NBL1
ENSG00000116809	p36.13	1	15941869	15976132	ZBTB17
ENSG00000142676	p36.11	1	23691742	23696835	RPL11
ENSG00000169717	p36.32	1	3021467	3022903	ACTRT2
ENSG00000011007	p36.11	1	23743155	23762059	ELOA
ENSG00000060656	p35.3	1	29236516	29326813	PTPRU
ENSG00000183888	p36.13	1	16004236	16008807	SRARP
ENSG00000186510	p36.13	1	16018875	16034050	CLCNKA
ENSG00000173641	p36.13	1	16014028	16019594	HSPB7
ENSG00000057757	p36.11	1	23778418	23788232	PITHD1
ENSG00000048707	p36.22	1	12230030	12512047	VPS13D
ENSG00000221978	p36.33	1	1385711	1399335	CCNL2
ENSG00000158748	p36.13	1	19664875	19680966	HTR6
ENSG00000162542	p36.13	1	19682213	19799945	TMCO4
ENSG00000171824	p36.22	1	11066618	11099869	EXOSC10
ENSG00000178828	p36.13	1	19814029	19815283	RNF186
ENSG00000142611	p36.32	1	3069168	3438621	PRDM16
ENSG00000169914	p36.13	1	19882395	19912945	OTUD3
ENSG00000188784	p36.13	1	19920009	19923617	PLA2G2E
ENSG00000011009	p36.11	1	23791145	23795539	LYPLA2
ENSG00000188257	p36.13	1	19975431	19980416	PLA2G2A
ENSG00000127472	p36.13	1	20028179	20091911	PLA2G5
ENSG00000242485	p36.33	1	1401909	1407293	MRPL20
ENSG00000117616	p36.11	1	25242249	25338213	RSRP1
ENSG00000235098	p36.33	1	1418420	1421769	ANKRD65
ENSG00000117215	p36.12	1	20111939	20119566	PLA2G2D
ENSG00000205116	p36.33	1	1426128	1427787	TMEM88B
ENSG00000179403	p36.33	1	1434861	1442882	VWA1
ENSG00000187980	p36.12	1	20161253	20177424	PLA2G2C
ENSG00000162543	p36.12	1	20186096	20196050	UBXN10
ENSG00000183386	p34.3	1	37996770	38005606	FHL3
ENSG00000183520	p34.3	1	38009258	38024820	UTP11
ENSG00000185668	p34.3	1	38043829	38046793	POU3F1
ENSG00000215915	p36.33	1	1449689	1470163	ATAD3C
ENSG00000162402	p32.3	1	55066359	55215364	USP24
ENSG00000142583	p36.23	1	9035106	9088478	SLC2A5
ENSG00000117308	p36.11	1	23795599	23800781	GALE
ENSG00000162407	p32.2	1	56494761	56645301	PLPP3
ENSG00000117305	p36.11	1	23801885	23838620	HMGCL
ENSG00000214114	p34.3	1	38862493	38873368	MYCBP
ENSG00000180758	p36.22	1	9100305	9129102	GPR157
ENSG00000116954	p34.3	1	38838198	38859772	RRAGC
ENSG00000158315	p34.3	1	38885807	38941830	RHBDL2
ENSG00000131233	p34.3	1	38874069	38881587	GJA9
ENSG00000160072	p36.33	1	1471765	1497848	ATAD3B
ENSG00000117114	p31.1	1	81306160	81992436	ADGRL2
ENSG00000117713	p36.11	1	26693236	26782104	ARID1A
ENSG00000049239	p36.22	1	9234775	9271337	H6PD
ENSG00000171621	p36.22	1	9292894	9369532	SPSB1
ENSG00000188672	p36.11	1	25362249	25430192	RHCE
ENSG00000162496	p36.21	1	12567910	12618210	DHRS3
ENSG00000162409	p32.2	1	56645314	56715335	PRKAA2
ENSG00000171612	p36.22	1	9539465	9585173	SLC25A33
ENSG00000204518	p36.21	1	12644547	12667086	AADACL4
ENSG00000188984	p36.21	1	12716110	12728760	AADACL3
ENSG00000187889	p32.2	1	56718789	56819696	FYB2
ENSG00000174574	p34.3	1	38991276	39006059	AKIRIN1
ENSG00000043514	p34.2	1	39838110	39883511	TRIT1
ENSG00000157330	p36.21	1	12746200	12763699	C1orf158
ENSG00000116726	p36.21	1	12774841	12777906	PRAMEF12
ENSG00000116721	p36.21	1	12791397	12796628	PRAMEF1
ENSG00000239810	p36.21	1	12824605	12831410	PRAMEF11
ENSG00000179172	p36.21	1	12847408	12848725	HNRNPCL1
ENSG00000120952	p36.21	1	12857086	12861909	PRAMEF2
ENSG00000188807	p36.22	1	9588911	9614877	TMEM201
ENSG00000157131	p32.2	1	56854806	56918221	C8A
ENSG00000232423	p36.21	1	12938472	12947580	PRAMEF6
ENSG00000243073	p36.21	1	12879212	12886201	PRAMEF4
ENSG00000204510	p36.21	1	12916610	12920482	PRAMEF7
ENSG00000187545	p36.21	1	12892896	12898270	PRAMEF10
ENSG00000162510	p35.2	1	30711277	30723585	MATN1
ENSG00000168653	p34.3	1	39026318	39034636	NDUFS5
ENSG00000197785	p36.33	1	1512162	1534685	ATAD3A
ENSG00000162511	p35.2	1	30732469	30757774	LAPTM5
ENSG00000274764	p36.21	1	13049476	13056491	PRAMEF27
ENSG00000183726	p36.11	1	25338317	25362361	TMEM50A
ENSG00000277058	p36.21	1	13060869	13062229	HNRNPCL3
ENSG00000205090	p36.33	1	1534778	1540624	TMEM240
ENSG00000021852	p32.2	1	56929207	56966140	C8B
ENSG00000162600	p32.1	1	58415384	58546802	OMA1
ENSG00000173406	p32.1	1	56994778	58546734	DAB1
ENSG00000229571	p36.21	1	13068677	13077884	PRAMEF25
ENSG00000116990	p34.2	1	39895426	39902256	MYCL
ENSG00000092847	p34.3	1	35869808	35930532	AGO1
ENSG00000130762	p36.32	1	3454665	3481113	ARHGEF16
ENSG00000275774	p36.21	1	13115488	13116854	HNRNPCL2
ENSG00000162512	p35.2	1	30869466	30908758	SDC3
ENSG00000179412	p36.21	1	13164586	13165467	HNRNPCL4
ENSG00000204505	p36.21	1	13172455	13179464	PRAMEF9
ENSG00000279169	p36.21	1	13196188	13201409	PRAMEF13
ENSG00000279804	p36.21	1	13222705	13226106	PRAMEF18
ENSG00000270601	p36.21	1	13254212	13263314	PRAMEF5
ENSG00000237700	p36.21	1	13303539	13308907	PRAMEF33
ENSG00000182330	p36.21	1	13281035	13285174	PRAMEF8
ENSG00000204481	p36.21	1	13341892	13347134	PRAMEF14
ENSG00000204501	p36.21	1	13315581	13322598	PRAMEF15
ENSG00000160075	p36.33	1	1541673	1574863	SSU72
ENSG00000228594	p36.33	1	1598012	1600135	FNDC10
ENSG00000197530	p36.33	1	1615415	1630610	MIB2
ENSG00000184292	p32.1	1	58575433	58577252	TACSTD2
ENSG00000126070	p34.3	1	35930718	36072500	AGO3
ENSG00000137941	p31.1	1	83865024	83999150	TTLL7
ENSG00000204480	p36.21	1	13369067	13371900	PRAMEF19
ENSG00000204479	p36.21	1	13389632	13392629	PRAMEF17
ENSG00000168389	p34.2	1	39955112	39969968	MFSD2A
ENSG00000204478	p36.21	1	13410450	13421328	PRAMEF20
ENSG00000171603	p36.22	1	9729026	9824526	CLSTN1
ENSG00000171608	p36.22	1	9651731	9729114	PIK3CD
ENSG00000162494	p36.21	1	13474973	13514003	LRRC38
ENSG00000182749	p36.11	1	25861210	25871253	PAQR7
ENSG00000162591	p36.32	1	3487951	3611508	MEGF6
ENSG00000117632	p36.11	1	25884181	25906991	STMN1
ENSG00000162384	p32.3	1	53214099	53220634	CZIB
ENSG00000157184	p32.3	1	53196792	53214197	CPT2
ENSG00000092850	p34.3	1	36084094	36088275	TEKT2
ENSG00000162601	p32.1	1	58643440	58700077	MYSM1
ENSG00000273274	p35.1	1	32465072	32496686	ZBTB8B
ENSG00000160062	p35.1	1	32539427	32605941	ZBTB8A
ENSG00000176261	p35.1	1	32600172	32650903	ZBTB8OS
ENSG00000060642	p36.11	1	26787472	26798398	PIGV
ENSG00000177606	p32.1	1	58780791	58784047	JUN
ENSG00000116863	p34.3	1	36088892	36093932	ADPRHL2
ENSG00000171812	p34.3	1	36095239	36125222	COL8A2
ENSG00000142875	p31.1	1	84078062	84238498	PRKACB
ENSG00000142973	p33	1	46757838	46819413	CYP4B1
ENSG00000116641	p31.3	1	62454298	62688386	DOCK7
ENSG00000143297	q23.1	1	157513377	157552515	FCRL5
ENSG00000163518	q23.1	1	157573747	157598085	FCRL4
ENSG00000162551	p36.12	1	21509397	21578410	ALPL
ENSG00000116871	p34.3	1	36155579	36180849	MAP7D1
ENSG00000172456	p32.1	1	59296638	59810647	FGGY
ENSG00000054116	p34.3	1	36136570	36156053	TRAPPC3
ENSG00000131238	p34.2	1	40071461	40097727	PPT1
ENSG00000181656	p21.2	1	100538139	100542021	GPR88
ENSG00000160856	q23.1	1	157674321	157700769	FCRL3
ENSG00000204178	p36.11	1	25430858	25500209	MACO1
ENSG00000132704	q23.1	1	157745733	157777132	FCRL2
ENSG00000131236	p34.2	1	40040233	40072649	CAP1
ENSG00000204160	p36.11	1	26826688	26857604	ZDHHC18
ENSG00000162692	p21.2	1	100719742	100739045	VCAM1
ENSG00000163534	q23.1	1	157794403	157820120	FCRL1
ENSG00000134644	p35.2	1	30931506	31065991	PUM1
ENSG00000073754	q23.1	1	157830911	157898256	CD5L
ENSG00000183853	q23.1	1	157993273	158100262	KIRREL1
ENSG00000158473	q23.1	1	158179947	158184896	CD1D
ENSG00000158477	q23.1	1	158254424	158258269	CD1A
ENSG00000157978	p36.11	1	25543580	25568886	LDLRAP1
ENSG00000203943	p31.1	1	84298366	84389957	SAMD13
ENSG00000162694	p21.2	1	100872372	100895179	EXTL2
ENSG00000187048	p33	1	46929177	46941484	CYP4A11
ENSG00000132855	p31.3	1	62597520	62606313	ANGPTL3
ENSG00000175793	p36.11	1	26863149	26864456	SFN
ENSG00000142751	p36.11	1	26876132	26890283	GPN2
ENSG00000162695	p21.2	1	100896076	100981757	SLC30A7
ENSG00000162385	p32.3	1	53226900	53238518	MAGOH
ENSG00000157193	p32.3	1	53242364	53328469	LRP8
ENSG00000137976	p31.1	1	84398532	84415018	DNASE2B
ENSG00000158816	p36.12	1	20290919	20354894	VWA5B1
ENSG00000131910	p36.11	1	26911489	26913975	NR0B2
ENSG00000090273	p36.11	1	26900238	26946871	NUDC
ENSG00000158481	q23.1	1	158289923	158294774	CD1C
ENSG00000198746	p36.11	1	26890488	26900467	GPATCH3
ENSG00000158485	q23.1	1	158327951	158331531	CD1B
ENSG00000158006	p36.11	1	25959767	25998117	PAFAH2
ENSG00000158488	q23.1	1	158353696	158357553	CD1E
ENSG00000174021	p22.3	1	84498325	84506581	GNG5
ENSG00000117133	p22.3	1	84479259	84498352	RPF1
ENSG00000117643	p36.11	1	25617468	25786207	MAN1C1
ENSG00000134709	p32.1	1	59814786	59876370	HOOK1
ENSG00000117151	p22.3	1	84549611	84574480	CTBS
ENSG00000122432	p22.3	1	84506300	84566194	SPATA1
ENSG00000186377	p33	1	47023669	47050751	CYP4X1
ENSG00000117543	p21.2	1	100989623	101026088	DPH5
ENSG00000186160	p33	1	47067231	47118318	CYP4Z1
ENSG00000162365	p33	1	47137435	47149735	CYP4A22
ENSG00000162545	p36.12	1	20482391	20486210	CAMK2N1
ENSG00000090432	p36.12	1	20499448	20508151	MUL1
ENSG00000186306	q23.1	1	158398522	158399466	OR10T2
ENSG00000180708	q23.1	1	158418210	158426237	OR10K2
ENSG00000173285	q23.1	1	158461574	158470857	OR10K1
ENSG00000158008	p36.11	1	26019884	26036464	EXTL1
ENSG00000198965	q23.1	1	158472220	158480936	OR10R2
ENSG00000197532	q23.1	1	158544550	158554405	OR6Y1
ENSG00000186440	q23.1	1	158560606	158570580	OR6P1
ENSG00000279111	q23.1	1	158578919	158579899	OR10X1
ENSG00000198967	q23.1	1	158605268	158612514	OR10Z1
ENSG00000163554	q23.1	1	158610704	158686715	SPTA1
ENSG00000196171	q23.1	1	158699678	158700652	OR6K2
ENSG00000203757	q23.1	1	158716327	158720720	OR6K3
ENSG00000180433	q23.1	1	158754720	158755891	OR6K6
ENSG00000197403	q23.1	1	158747814	158772195	OR6N1
ENSG00000188340	q23.1	1	158774222	158781204	OR6N2
ENSG00000183114	p36.12	1	20552573	20555020	FAM43B
ENSG00000163563	q23.1	1	158831351	158849506	MNDA
ENSG00000170989	p21.2	1	101236865	101243713	S1PR1
ENSG00000163564	q23.1	1	158930796	158977059	PYHIN1
ENSG00000175707	p36.11	1	26949562	26960468	KDF1
ENSG00000158825	p36.12	1	20589086	20618903	CDA
ENSG00000134716	p32.1	1	59893308	59926773	CYP2J2
ENSG00000244038	p36.12	1	20651767	20661544	DDOST
ENSG00000253368	p36.11	1	26993692	27000886	TRNP1
ENSG00000158828	p36.12	1	20633458	20651511	PINK1
ENSG00000162598	p32.1	1	59987269	60073770	C1orf87
ENSG00000163565	q23.1	1	158999968	159055155	IFI16
ENSG00000162521	p35.1	1	32651142	32686211	RBBP4
ENSG00000162599	p31.3	1	60865259	61462788	NFIA
ENSG00000162366	p33	1	47183582	47191044	PDZK1IP1
ENSG00000158246	p36.11	1	27005020	27012850	TENT5B
ENSG00000162367	p33	1	47216290	47232220	TAL1
ENSG00000117640	p36.11	1	25818640	25832942	MTFR1L
ENSG00000162520	p35.1	1	32679906	32703596	SYNC
ENSG00000117155	p22.3	1	84643707	84690803	SSX2IP
ENSG00000163568	q23.2	1	159062484	159147096	AIM2
ENSG00000162430	p36.11	1	25800176	25818221	SELENON
ENSG00000162706	q23.2	1	159171609	159203313	CADM3
ENSG00000127423	p36.11	1	25831913	25859458	AUNIP
ENSG00000118733	p21.1	1	101802574	101997030	OLFM3
ENSG00000213088	q23.2	1	159203307	159206500	ACKR1
ENSG00000171517	p22.3	1	84811602	84893206	LPAR3
ENSG00000090020	p36.11	1	27098809	27166981	SLC9A1
ENSG00000153898	p22.3	1	84925583	84997113	MCOLN2
ENSG00000076864	p36.12	1	21596215	21669363	RAP1GAP
ENSG00000179639	q23.2	1	159289714	159308224	FCER1A
ENSG00000196266	q23.2	1	159313670	159314659	OR10J3
ENSG00000196184	q23.2	1	159437845	159443078	OR10J1
ENSG00000054118	p34.3	1	36224432	36305357	THRAP3
ENSG00000123473	p33	1	47250139	47314147	STIL
ENSG00000055732	p22.3	1	85018082	85048500	MCOLN3
ENSG00000142784	p36.11	1	27234632	27308636	WDTC1
ENSG00000162643	p22.3	1	84999147	85133138	WDR63
ENSG00000184155	q23.2	1	159535078	159536007	OR10J5
ENSG00000132703	q23.2	1	159587826	159588865	APCS
ENSG00000132693	q23.2	1	159712289	159714589	CRP
ENSG00000158014	p36.11	1	26037252	26046118	SLC30A2
ENSG00000117245	p36.12	1	20664014	20718017	KIF17
ENSG00000137948	p22.1	1	91949371	92014426	BRDT
ENSG00000158716	q23.2	1	159780932	159782543	DUSP23
ENSG00000181036	q23.2	1	159800511	159816257	FCRL6
ENSG00000158022	p36.11	1	26051304	26068436	TRIM63
ENSG00000175087	p36.11	1	26111165	26125555	PDIK1L
ENSG00000213085	q23.2	1	159872364	159900165	CFAP45
ENSG00000158714	q23.2	1	159826811	159837492	SLAMF8
ENSG00000243284	q23.2	1	159854316	159862657	VSIG8
ENSG00000117000	p34.2	1	40161387	40240921	RLF
ENSG00000162368	p33	1	47333797	47378839	CMPK1
ENSG00000178585	p36.22	1	9848276	9910336	CTNNBIP1
ENSG00000084628	p35.2	1	31179745	31239887	NKAIN1
ENSG00000188800	p34.2	1	40245947	40251684	TMCO2
ENSG00000158710	q23.2	1	159918107	159925732	TAGLN2
ENSG00000000938	p35.3	1	27612064	27635185	FGR
ENSG00000162604	p31.3	1	61681046	61725423	TM2D1
ENSG00000085552	q23.2	1	159927039	159945613	IGSF9
ENSG00000084073	p34.2	1	40258236	40294180	ZMPSTE24
ENSG00000162723	q23.2	1	159951492	159954237	SLAMF9
ENSG00000125703	p31.3	1	62784132	62865516	ATG4C
ENSG00000177807	q23.2	1	159998651	160070160	KCNJ10
ENSG00000197245	p36.11	1	26159079	26163962	FAM110D
ENSG00000143315	q23.2	1	160024953	160031990	PIGM
ENSG00000282872	p36.11	1	26164161	26168581	C1orf232
ENSG00000162728	q23.2	1	160081538	160090563	KCNJ9
ENSG00000186790	p33	1	47416285	47418052	FOXE3
ENSG00000186564	p33	1	47436017	47440691	FOXD2
ENSG00000269113	p33	1	47760528	47997385	TRABD2B
ENSG00000162522	p35.1	1	32741830	32774970	KIAA1522
ENSG00000060688	p35.2	1	31259568	31296788	SNRNP40
ENSG00000142684	p36.11	1	26169908	26170873	ZNF593
ENSG00000132849	p31.3	1	61742406	62178675	PATJ
ENSG00000162729	q23.2	1	160091340	160098943	IGSF8
ENSG00000018625	q23.2	1	160115759	160143591	ATP1A2
ENSG00000097096	p22.3	1	85156889	85201016	SYDE2
ENSG00000173614	p36.22	1	9943428	9985501	NMNAT1
ENSG00000162642	p22.3	1	85249953	85259672	C1orf52
ENSG00000162441	p36.22	1	9922113	9943407	LZIC
ENSG00000142867	p22.3	1	85265776	85276632	BCL10
ENSG00000153904	p22.3	1	85318481	85578363	DDAH1
ENSG00000187140	p31.3	1	63322567	63325128	FOXD3
ENSG00000172031	p22.1	1	92029985	92063538	EPHX4
ENSG00000132681	q23.2	1	160151570	160186977	ATP1A4
ENSG00000230667	p22.1	1	92074533	92075441	SETSIP
ENSG00000142871	p22.3	1	85580761	85583950	CCN1
ENSG00000189195	p22.1	1	92080305	92184725	BTBD8
ENSG00000143318	q23.2	1	160190575	160201886	CASQ1
ENSG00000162734	q23.2	1	160205337	160215376	PEA15
ENSG00000203910	p22.1	1	92217915	92245813	C1orf146
