Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC symbol
ENSG00000126107	HECT domain E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:26117]	1	45002540	45011324	HECTD3
ENSG00000160783	polyamine modulated factor 1 [Source:HGNC Symbol;Acc:HGNC:9112]	1	156212993	156240042	PMF1
ENSG00000260238	PMF1-BGLAP readthrough [Source:HGNC Symbol;Acc:HGNC:42953]	1	156212982	156243332	PMF1-BGLAP
ENSG00000126088	uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591]	1	45010950	45015575	UROD
ENSG00000160781	progestin and adipoQ receptor family member 6 [Source:HGNC Symbol;Acc:HGNC:30132]	1	156243320	156248117	PAQR6
ENSG00000242252	bone gamma-carboxyglutamate protein [Source:HGNC Symbol;Acc:HGNC:1043]	1	156242184	156243317	BGLAP
ENSG00000168159	ring finger protein 187 [Source:HGNC Symbol;Acc:HGNC:27146]	1	228487382	228496188	RNF187
ENSG00000196890	histone cluster 3 H2B family member b [Source:HGNC Symbol;Acc:HGNC:20514]	1	228458107	228460470	HIST3H2BB
ENSG00000181218	histone cluster 3 H2A [Source:HGNC Symbol;Acc:HGNC:20507]	1	228456979	228457873	HIST3H2A
ENSG00000169991	intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:HGNC:27006]	1	18904280	18956676	IFFO2
ENSG00000127481	ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]	1	19074510	19210266	UBR4
ENSG00000054523	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	1	10210805	10381603	KIF1B
ENSG00000007923	DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]	1	6634168	6701924	DNAJC11
ENSG00000187730	gamma-aminobutyric acid type A receptor delta subunit [Source:HGNC Symbol;Acc:HGNC:4084]	1	2019329	2030758	GABRD
ENSG00000041988	THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]	1	6624866	6635586	THAP3
ENSG00000127483	heterochromatin protein 1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]	1	20742679	20787323	HP1BP3
ENSG00000179163	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	1	23845077	23868294	FUCA1
ENSG00000188060	RAB42, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:28702]	1	28592200	28595443	RAB42
ENSG00000120656	TATA-box binding protein associated factor 12 [Source:HGNC Symbol;Acc:HGNC:11545]	1	28589323	28643085	TAF12
ENSG00000188822	cannabinoid receptor 2 [Source:HGNC Symbol;Acc:HGNC:2160]	1	23870515	23913362	CNR2
ENSG00000189266	proline rich nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:HGNC:23158]	1	23956839	23963462	PNRC2
ENSG00000162493	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	1	13583465	13617957	PDPN
ENSG00000090686	ubiquitin specific peptidase 48 [Source:HGNC Symbol;Acc:HGNC:18533]	1	21678298	21783606	USP48
ENSG00000188529	serine and arginine rich splicing factor 10 [Source:HGNC Symbol;Acc:HGNC:16713]	1	23964347	23980927	SRSF10
ENSG00000162419	glucocorticoid modulatory element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4370]	1	28668732	28719353	GMEB1
ENSG00000116731	PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]	1	13700198	13825079	PRDM2
ENSG00000142661	myomesin 3 [Source:HGNC Symbol;Acc:HGNC:26679]	1	24056035	24112135	MYOM3
ENSG00000198492	YTH N6-methyladenosine RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:31675]	1	28736621	28769775	YTHDF2
ENSG00000187942	low density lipoprotein receptor class A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32071]	1	21812265	21825225	LDLRAD2
ENSG00000142798	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	1	21822244	21937310	HSPG2
ENSG00000116329	opioid receptor delta 1 [Source:HGNC Symbol;Acc:HGNC:8153]	1	28812142	28871267	OPRD1
ENSG00000171735	calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]	1	6785454	7769706	CAMTA1
ENSG00000142677	interleukin 22 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:13700]	1	24119771	24143140	IL22RA1
ENSG00000189337	kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]	1	13892792	15118043	KAZN
ENSG00000049245	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	1	7771296	7781432	VAMP3
ENSG00000171729	transmembrane protein 51 [Source:HGNC Symbol;Acc:HGNC:25488]	1	15152532	15220478	TMEM51
ENSG00000142657	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	1	10398592	10420511	PGD
ENSG00000067606	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	1	2050411	2185395	PRKCZ
ENSG00000185436	interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584]	1	24154168	24187959	IFNLR1
ENSG00000162585	FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]	1	2184461	2212720	FAAP20
ENSG00000001460	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	1	24356999	24416934	STPG1
ENSG00000001461	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	1	24415802	24472976	NIPAL3
ENSG00000158055	grainyhead like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:25839]	1	24319322	24364482	GRHL3
ENSG00000049246	period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]	1	7784320	7845177	PER3
ENSG00000049247	urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636]	1	7843083	7853512	UTS2
ENSG00000219073	chymotrypsin like elastase 3B [Source:HGNC Symbol;Acc:HGNC:15945]	1	21977022	21998642	CELA3B
ENSG00000070831	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	1	22025511	22101360	CDC42
ENSG00000142789	chymotrypsin like elastase 3A [Source:HGNC Symbol;Acc:HGNC:15944]	1	22001657	22012542	CELA3A
ENSG00000075151	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	1	20806292	21176888	EIF4G3
ENSG00000142621	forkhead associated phosphopeptide binding domain 1 [Source:HGNC Symbol;Acc:HGNC:29408]	1	15247272	15400283	FHAD1
ENSG00000049249	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	1	7915894	7943165	TNFRSF9
ENSG00000251503	CENPS-CORT readthrough [Source:HGNC Symbol;Acc:HGNC:38843]	1	10430102	10452153	CENPS-CORT
ENSG00000175279	centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163]	1	10430433	10442808	CENPS
ENSG00000241563	cortistatin [Source:HGNC Symbol;Acc:HGNC:2257]	1	10449719	10451902	CORT
ENSG00000142634	EF-hand domain family member D2 [Source:HGNC Symbol;Acc:HGNC:28670]	1	15409888	15430339	EFHD2
ENSG00000160049	DNA fragmentation factor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2772]	1	10456522	10472529	DFFA
ENSG00000142655	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	1	10472288	10630758	PEX14
ENSG00000157933	SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]	1	2228319	2310213	SKI
ENSG00000116151	MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]	1	2321253	2391707	MORN1
ENSG00000162438	chymotrypsin C [Source:HGNC Symbol;Acc:HGNC:2523]	1	15438442	15449242	CTRC
ENSG00000142615	chymotrypsin like elastase 2A [Source:HGNC Symbol;Acc:HGNC:24609]	1	15456728	15472091	CELA2A
ENSG00000215704	chymotrypsin like elastase 2B [Source:HGNC Symbol;Acc:HGNC:29995]	1	15465909	15491395	CELA2B
ENSG00000162552	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	1	22117313	22143969	WNT4
ENSG00000132906	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	1	15490832	15526534	CASP9
ENSG00000116288	Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]	1	7954291	7985505	PARK7
ENSG00000117602	RCAN family member 3 [Source:HGNC Symbol;Acc:HGNC:3042]	1	24502351	24541040	RCAN3
ENSG00000120937	natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]	1	11857464	11858945	NPPB
ENSG00000116285	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	1	8004404	8026309	ERRFI1
ENSG00000184677	zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045]	1	22428838	22531157	ZBTB40
ENSG00000116685	KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]	1	11919591	11926428	KIAA2013
ENSG00000070886	EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391]	1	22563489	22603595	EPHA8
ENSG00000173372	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	1	22636628	22639678	C1QA
ENSG00000184454	non-compact myelin associated protein [Source:HGNC Symbol;Acc:HGNC:29332]	1	24556087	24609328	NCMAP
ENSG00000159189	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	1	22643633	22648110	C1QC
ENSG00000173369	complement C1q B chain [Source:HGNC Symbol;Acc:HGNC:1242]	1	22652762	22661637	C1QB
ENSG00000133216	EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]	1	22710839	22921500	EPHB2
ENSG00000130940	castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002]	1	10636604	10796650	CASZ1
ENSG00000157916	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]	1	2391775	2405442	RER1
ENSG00000162426	solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939]	1	8317826	8344167	SLC45A1
ENSG00000157911	peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]	1	2403964	2413797	PEX10
ENSG00000215906	lactamase beta like 1 [Source:HGNC Symbol;Acc:HGNC:35445]	1	22953043	22965338	LACTBL1
ENSG00000227868	testis expressed 46 [Source:HGNC Symbol;Acc:HGNC:44651]	1	23010834	23015852	TEX46
ENSG00000004487	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	1	23019443	23083689	KDM1A
ENSG00000175262	chromosome 1 open reading frame 127 [Source:HGNC Symbol;Acc:HGNC:26730]	1	10946471	10982037	C1orf127
ENSG00000149527	phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]	1	2425980	2505532	PLCH2
ENSG00000169641	leucine zipper protein 1 [Source:HGNC Symbol;Acc:HGNC:14985]	1	23084023	23177808	LUZP1
ENSG00000253304	transmembrane protein 200B [Source:HGNC Symbol;Acc:HGNC:33785]	1	29119429	29123903	TMEM200B
ENSG00000159023	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	1	28887091	29120046	EPB41
ENSG00000127463	ER membrane protein complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28957]	1	19215660	19251527	EMC1
ENSG00000083444	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	1	11934205	11975538	PLOD1
ENSG00000142599	arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965]	1	8352397	8848921	RERE
ENSG00000179546	5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289]	1	23191895	23194729	HTR1D
ENSG00000157881	pantothenate kinase 4 [Source:HGNC Symbol;Acc:HGNC:19366]	1	2508537	2526611	PANK4
ENSG00000125944	heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]	1	23303771	23344336	HNRNPR
ENSG00000116138	DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157]	1	15526813	15592379	DNAJC16
ENSG00000053372	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	1	19251805	19260128	MRTO4
ENSG00000116771	agmatinase [Source:HGNC Symbol;Acc:HGNC:18407]	1	15571699	15585051	AGMAT
ENSG00000117298	endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]	1	21217247	21345572	ECE1
ENSG00000197921	hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]	1	2528745	2530263	HES5
ENSG00000157873	TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]	1	2555639	2565382	TNFRSF14
ENSG00000125945	zinc finger protein 436 [Source:HGNC Symbol;Acc:HGNC:20814]	1	23359448	23369836	ZNF436
ENSG00000133226	serine and arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:HGNC:16638]	1	24631716	24673281	SRRM1
ENSG00000197312	DNA damage inducible 1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:24578]	1	15617458	15669044	DDI2
ENSG00000215695	regulator of solute carriers 1 [Source:HGNC Symbol;Acc:HGNC:10458]	1	15659869	15661722	RSC1A1
ENSG00000204219	transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]	1	23380909	23424748	TCEA3
ENSG00000116688	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	1	11980181	12013514	MFN2
ENSG00000116350	serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786]	1	29147743	29181900	SRSF4
ENSG00000074800	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	1	8861000	8879190	ENO1
ENSG00000162461	solute carrier family 25 member 34 [Source:HGNC Symbol;Acc:HGNC:27653]	1	15736258	15741392	SLC25A34
ENSG00000162460	transmembrane protein 82 [Source:HGNC Symbol;Acc:HGNC:32350]	1	15742499	15747982	TMEM82
ENSG00000116786	pleckstrin homology and RUN domain containing M2 [Source:HGNC Symbol;Acc:HGNC:29131]	1	15684320	15734769	PLEKHM2
ENSG00000169504	chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]	1	24745382	24844321	CLIC4
ENSG00000162482	aldo-keto reductase family 7 member A3 [Source:HGNC Symbol;Acc:HGNC:390]	1	19282573	19288770	AKR7A3
ENSG00000116691	migration and invasion inhibitory protein [Source:HGNC Symbol;Acc:HGNC:25715]	1	12019466	12032045	MIIP
ENSG00000120949	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]	1	12063303	12144207	TNFRSF8
ENSG00000009724	mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]	1	11026523	11047239	MASP2
ENSG00000020633	RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]	1	24899511	24965121	RUNX3
ENSG00000277726	novel protein	1	11012662	11030528	
ENSG00000053371	aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389]	1	19303965	19312146	AKR7A2
ENSG00000120948	TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]	1	11012344	11026420	TARDBP
ENSG00000117614	SYF2 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:19824]	1	25222276	25232502	SYF2
ENSG00000224051	ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116]	1	1324756	1328896	CPTP
ENSG00000107404	dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]	1	1335276	1349418	DVL1
ENSG00000116353	mitochondrial trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:19691]	1	29192657	29230942	MECR
ENSG00000131686	carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]	1	8945867	8975092	CA6
ENSG00000169962	taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]	1	1331280	1335314	TAS1R3
ENSG00000197241	solute carrier family 2 member 7 [Source:HGNC Symbol;Acc:HGNC:13445]	1	9003300	9026345	SLC2A7
ENSG00000040487	solute carrier family 66 member 1 [Source:HGNC Symbol;Acc:HGNC:26001]	1	19312326	19329300	SLC66A1
ENSG00000187010	Rh blood group D antigen [Source:HGNC Symbol;Acc:HGNC:10009]	1	25272393	25330445	RHD
ENSG00000142794	NBPF member 3 [Source:HGNC Symbol;Acc:HGNC:25076]	1	21440128	21485005	NBPF3
ENSG00000088280	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]	1	23428563	23484568	ASAP3
ENSG00000162576	matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]	1	1352689	1361777	MXRA8
ENSG00000175756	aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]	1	1373730	1375495	AURKAIP1
ENSG00000028137	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	1	12166991	12209228	TNFRSF1B
ENSG00000162458	filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686]	1	15756607	15786594	FBLIM1
ENSG00000233954	ubiquinol-cytochrome c reductase hinge protein like [Source:HGNC Symbol;Acc:HGNC:51714]	1	15807169	15809348	UQCRHL
ENSG00000065526	spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]	1	15847707	15940456	SPEN
ENSG00000215912	tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297]	1	2635976	2801717	TTC34
ENSG00000142606	membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]	1	2590639	2633016	MMEL1
ENSG00000157870	peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]	1	2586491	2591469	PRXL2B
ENSG00000173436	mitochondrial contact site and cristae organizing system subunit 10 [Source:HGNC Symbol;Acc:HGNC:32068]	1	19484403	19629821	MICOS10
ENSG00000158747	NBL1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]	1	19596979	19658456	NBL1
ENSG00000077549	capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]	1	19338775	19485539	CAPZB
ENSG00000116649	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	1	11054584	11060020	SRM
ENSG00000007968	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	1	23506438	23531233	E2F2
ENSG00000117318	inhibitor of DNA binding 3, HLH protein [Source:HGNC Symbol;Acc:HGNC:5362]	1	23557926	23559501	ID3
ENSG00000270136	MICOS10-NBL1 readthrough [Source:HGNC Symbol;Acc:HGNC:48338]	1	19597067	19656927	MICOS10-NBL1
ENSG00000116809	zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936]	1	15941869	15976132	ZBTB17
ENSG00000142676	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	1	23691742	23696835	RPL11
ENSG00000169717	actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026]	1	3021467	3022903	ACTRT2
ENSG00000011007	elongin A [Source:HGNC Symbol;Acc:HGNC:11620]	1	23743155	23762059	ELOA
ENSG00000060656	protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]	1	29236516	29326813	PTPRU
ENSG00000183888	steroid receptor associated and regulated protein [Source:HGNC Symbol;Acc:HGNC:28339]	1	16004236	16008807	SRARP
ENSG00000186510	chloride voltage-gated channel Ka [Source:HGNC Symbol;Acc:HGNC:2026]	1	16018875	16034050	CLCNKA
ENSG00000173641	heat shock protein family B (small) member 7 [Source:HGNC Symbol;Acc:HGNC:5249]	1	16014028	16019594	HSPB7
ENSG00000057757	PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022]	1	23778418	23788232	PITHD1
ENSG00000048707	vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]	1	12230030	12512047	VPS13D
ENSG00000221978	cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570]	1	1385711	1399335	CCNL2
ENSG00000158748	5-hydroxytryptamine receptor 6 [Source:HGNC Symbol;Acc:HGNC:5301]	1	19664875	19680966	HTR6
ENSG00000162542	transmembrane and coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:27393]	1	19682213	19799945	TMCO4
ENSG00000171824	exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138]	1	11066618	11099869	EXOSC10
ENSG00000178828	ring finger protein 186 [Source:HGNC Symbol;Acc:HGNC:25978]	1	19814029	19815283	RNF186
ENSG00000142611	PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]	1	3069168	3438621	PRDM16
ENSG00000169914	OTU deubiquitinase 3 [Source:HGNC Symbol;Acc:HGNC:29038]	1	19882395	19912945	OTUD3
ENSG00000188784	phospholipase A2 group IIE [Source:HGNC Symbol;Acc:HGNC:13414]	1	19920009	19923617	PLA2G2E
ENSG00000011009	lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]	1	23791145	23795539	LYPLA2
ENSG00000188257	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]	1	19975431	19980416	PLA2G2A
ENSG00000127472	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	1	20028179	20091911	PLA2G5
ENSG00000242485	mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]	1	1401909	1407293	MRPL20
ENSG00000117616	arginine and serine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234]	1	25242249	25338213	RSRP1
ENSG00000235098	ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950]	1	1418420	1421769	ANKRD65
ENSG00000117215	phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]	1	20111939	20119566	PLA2G2D
ENSG00000205116	transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099]	1	1426128	1427787	TMEM88B
ENSG00000179403	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]	1	1434861	1442882	VWA1
ENSG00000158786	phospholipase A2 group IIF [Source:HGNC Symbol;Acc:HGNC:30040]	1	20139326	20150386	PLA2G2F
ENSG00000187980	phospholipase A2 group IIC [Source:HGNC Symbol;Acc:HGNC:9032]	1	20161253	20177424	PLA2G2C
ENSG00000162543	UBX domain protein 10 [Source:HGNC Symbol;Acc:HGNC:26354]	1	20186096	20196050	UBXN10
ENSG00000183386	four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]	1	37996770	38005606	FHL3
ENSG00000183520	UTP11 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24329]	1	38009258	38024820	UTP11
ENSG00000185668	POU class 3 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9214]	1	38043829	38046793	POU3F1
ENSG00000215915	ATPase family AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151]	1	1449689	1470163	ATAD3C
ENSG00000162402	ubiquitin specific peptidase 24 [Source:HGNC Symbol;Acc:HGNC:12623]	1	55066359	55215364	USP24
ENSG00000142583	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	1	9035106	9088478	SLC2A5
ENSG00000117308	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	1	23795599	23800781	GALE
